order_id,datetime,order_value,user_id
30192,2021-11-13 23:45:59.972413,15.41025641025641,01dcc89716ca85f2b690e7cd17d9591857cdff1839c553eca50225f645131e70
33603,2021-12-12 15:55:03.196574,52.61794871794872,0a9c47d94e317ffa951415a8081853ecb0155985e3092a2aa31f78c7c304a740
20953,2021-08-28 12:07:12.663131,13.307692307692312,cd860b12f63fe60467e49124ba0e938d8364ff95959d46ca7aba2c038cf42d53
46251,2022-04-06 14:32:47.033021,8.666666666666666,2aba3044ce0a1d96942f1d0377ed71a7ec9b8adc11a461fadf44a5b6db44fdde
45041,2022-03-24 07:35:44.942750,14.769230769230772,92d30a0059691b5a7f7d486d6b7f15e63ea8f113d6df3b5de97043f706d5da2c
48156,2022-05-03 18:37:19.474375,36.64102564102564,ad0e25ff81f8ac55b7a599aea855bafb6e2a1beebdc403a75a8f6887812324b2
2570,2021-03-19 13:54:56.386613,5.128205128205129,2f0be12d0cc6fb507f573e53b126d0b8c963cbaf69792d6580acd06c67cae764
33516,2021-12-11 14:51:26.666528,11.794871794871796,7c0fd8c4af810810ca27874cf26b613ad11cfc22184bc428a46e294e4440ddb8
28009,2021-10-20 13:05:13.926217,12.21025641025641,cf813fbf1807d92fdd9113f7e0d507ace16e47bf7a5f1b298a612fff8f2c713a
31264,2021-11-22 03:09:29.718540,4.564102564102565,6f6776c8f20526e62c7fac202e3ea3c7061965683d3a4b6aafb2dd911fd633ae
24320,2021-09-16 19:53:19.259329,21.153846153846153,ce904a5ec95f45d59ed2a5f782967415fc6dad382ddcc50f56a2a81503515774
21599,2021-09-01 20:03:10.552035,10.35897435897436,127edcd824200de97e971acdbf883ef67f1770abb740c373634252867144908b
11232,2021-06-07 19:59:56.843719,30.71794871794872,56e90ed630e3771a8981ebc33c9f5ee8b37ac8387f9f0f893d87970477e96b6e
41628,2022-02-16 12:36:16.698005,5.487179487179487,86024261e45ae6b9c8fe638e0af330caefe68f367bd74045ab8a223a3f260376
29238,2021-11-03 10:35:06.815142,21.56923076923077,59cfe23af38313ebbc0997a91decf4657a35b20efe7c3154b0af1afc5074ca00
19251,2021-08-15 11:01:33.527028,48.40512820512821,3240793c61c1280dcc5e6c604da2cd56139f17d52584cf802d01ad2b803f9a6a
42027,2022-02-20 23:26:22.499184,91.09743589743589,7eb8ab132a6a6545f2c7a0b01cb463f7938c870f5f7804f1f0ccf60c63de949c
3176,2021-03-26 23:16:51.298400,7.256410256410256,a49dde56664ba7f5dd845035878867c97213de84f73024a6cc9aa5856ec75a33
22730,2021-09-08 10:50:19.939208,22.176923076923085,cb5c72936e8da5a45b947ea8b27bd5c69e3cbf8be8c6406ea477b342fe163e70
28160,2021-10-22 13:35:24.667054,3.3333333333333335,8897446a3f15235e4623376c65203d5aa4493b2815c8fe7c4645b26e53dfa440
3336,2021-03-30 17:05:01.899400,44.71794871794872,f9b6b915812e331e06c90aa4fe50db4053487c3e0cf6c809b3eee4ff687d0a91
23661,2021-09-13 13:13:16.830176,9.025641025641027,26d26f40ffff2117c6eae8d29e15bc6b11b93638c6ba28e636d99b9492a3f8b4
12590,2021-06-19 13:23:25.626748,21.969230769230766,3fa1e1ab67dce808e88c46fda214d33132d168d4ad6ae7d127f15d3f9172df8c
12761,2021-06-20 17:31:49.039934,46.9923076923077,34821f8840437f3eee68b3ced1b67b0c30ef217c07e213d4756fbe606f3c89f9
11512,2021-06-09 21:26:45.428307,18.461538461538463,99121af0268e5d71e552baeab456b9f1b8073ec0fa96bad93970c7b222da0fdf
806,2021-02-19 07:02:41.674162,60.51282051282051,af207ca32f38ad51bb99a912a25e84c2af0f6c525626bbeb56d94f9db78d86fc
39633,2022-01-26 07:13:15.184283,56.41025641025641,09fbb3de5b4a967777f737a41bf14b92fabf63a584739c426d2425177a1fc943
40455,2022-02-02 15:35:11.712630,8.66923076923077,2043d8bbce53c62bfbf544c7ec1246a3d32eb789fbe053fdaa249e21f6dc1aa3
985,2021-02-22 18:38:29.574618,11.076923076923078,59533c04a585b971b6b7f5595b5981ef09f3f8d95d82ad9671e34fb28d2fbc1d
18305,2021-08-06 12:18:02.942871,20.871794871794872,2e3d5c7edb2d1f9d537347b7a9057cbaf79d0dc064ae250ca97a0902172c8681
23391,2021-09-11 18:52:53.325399,21.410256410256412,4dae20b8103b758d535c2ca6286b39dad66f2103bcf84ebbe5951afaf9152194
3157,2021-03-26 17:26:55.109180,30.230769230769234,532baa02eff2f27e91c5385053ae84e2336e2bb7a09327d096d338d93be74225
